,eff,name,type,time,OK
0,0.7630527,tran_SchGtKttTtVtTeg90,Sch,Sat May 23 18:53:21 2026,True
1,0.7718347,tran_SchGtKttTtVtTeg80,Sch,Sat May 23 18:53:10 2026,True
2,0.7800037,tran_SchGtKttTtVtTeg70,Sch,Sat May 23 18:53:02 2026,True
3,0.7882235,tran_SchGtKttTtVtTeg60,Sch,Sat May 23 18:53:00 2026,True
4,0.7924371,tran_SchGtKttTtVtTeg50,Sch,Sat May 23 18:52:54 2026,False
5,0.7874895,tran_SchGtKttTtVtTeg40,Sch,Sat May 23 18:52:46 2026,True
6,0.7656854,tran_SchGtKttTtVtTeg30,Sch,Sat May 23 18:52:46 2026,True
7,0.6639639,tran_SchGtKttTtVtTeg20,Sch,Sat May 23 18:52:35 2026,False
