,eff,name,type,time,OK
0,0.7867214,tran_SchGtKfsTlTeg40,Sch,Sat May 23 19:08:38 2026,True
1,0.7758366,tran_SchGtKsfTlTeg40,Sch,Sat May 23 19:08:37 2026,True
2,0.7982112,tran_SchGtKffTlTeg40,Sch,Sat May 23 19:08:35 2026,False
3,0.7785964,tran_SchGtKssTlTeg40,Sch,Sat May 23 19:08:34 2026,True
4,0.5142549,tran_SchGtKfsThTeg40,Sch,Sat May 23 19:08:27 2026,False
5,0.7864357,tran_SchGtKsfThTeg40,Sch,Sat May 23 19:08:24 2026,True
6,0.6860702,tran_SchGtKffThTeg40,Sch,Sat May 23 19:08:19 2026,False
7,0.7786716,tran_SchGtKssThTeg40,Sch,Sat May 23 19:08:17 2026,True
