,eff,name,type,time,OK
0,0.865896,tran_SchGtKttmmTtVtTeg40_29,Sch,Sun May 24 17:30:20 2026,True
1,0.8648128,tran_SchGtKttmmTtVtTeg40_28,Sch,Sun May 24 17:00:16 2026,True
2,0.8645201,tran_SchGtKttmmTtVtTeg40_27,Sch,Sun May 24 16:32:35 2026,True
3,0.863172,tran_SchGtKttmmTtVtTeg40_26,Sch,Sun May 24 16:03:34 2026,True
4,0.8627934,tran_SchGtKttmmTtVtTeg40_25,Sch,Sun May 24 15:37:37 2026,True
5,0.8656638,tran_SchGtKttmmTtVtTeg40_24,Sch,Sun May 24 15:09:08 2026,True
6,0.8610652,tran_SchGtKttmmTtVtTeg40_23,Sch,Sun May 24 14:39:47 2026,True
7,0.8671767,tran_SchGtKttmmTtVtTeg40_22,Sch,Sun May 24 13:55:36 2026,True
8,0.8644358,tran_SchGtKttmmTtVtTeg40_21,Sch,Sun May 24 12:38:08 2026,True
9,0.8643003,tran_SchGtKttmmTtVtTeg40_20,Sch,Sun May 24 11:48:00 2026,True
10,0.8657647,tran_SchGtKttmmTtVtTeg40_19,Sch,Sun May 24 10:57:57 2026,True
11,0.8648286,tran_SchGtKttmmTtVtTeg40_18,Sch,Sun May 24 10:02:59 2026,True
12,0.8611602,tran_SchGtKttmmTtVtTeg40_17,Sch,Sun May 24 08:55:00 2026,True
13,0.865777,tran_SchGtKttmmTtVtTeg40_16,Sch,Sun May 24 07:32:06 2026,True
14,0.8649568,tran_SchGtKttmmTtVtTeg40_15,Sch,Sun May 24 06:40:38 2026,True
15,0.8692922,tran_SchGtKttmmTtVtTeg40_14,Sch,Sun May 24 06:12:29 2026,True
16,0.8666685,tran_SchGtKttmmTtVtTeg40_13,Sch,Sun May 24 05:41:54 2026,True
17,0.8643661,tran_SchGtKttmmTtVtTeg40_12,Sch,Sun May 24 05:11:25 2026,True
18,0.8658568,tran_SchGtKttmmTtVtTeg40_11,Sch,Sun May 24 04:40:17 2026,True
19,0.8608313,tran_SchGtKttmmTtVtTeg40_10,Sch,Sun May 24 04:11:32 2026,True
20,0.8658561,tran_SchGtKttmmTtVtTeg40_9,Sch,Sun May 24 03:42:27 2026,True
21,0.8651229,tran_SchGtKttmmTtVtTeg40_8,Sch,Sun May 24 03:10:47 2026,True
22,0.8631841,tran_SchGtKttmmTtVtTeg40_7,Sch,Sun May 24 02:42:21 2026,True
23,0.8615241,tran_SchGtKttmmTtVtTeg40_6,Sch,Sun May 24 02:12:43 2026,True
24,0.8625846,tran_SchGtKttmmTtVtTeg40_5,Sch,Sun May 24 01:44:43 2026,True
25,0.8637272,tran_SchGtKttmmTtVtTeg40_4,Sch,Sun May 24 01:15:45 2026,True
26,0.8665914,tran_SchGtKttmmTtVtTeg40_3,Sch,Sun May 24 00:47:05 2026,True
27,0.8659779,tran_SchGtKttmmTtVtTeg40_2,Sch,Sun May 24 00:18:51 2026,True
28,0.864586,tran_SchGtKttmmTtVtTeg40_1,Sch,Sat May 23 23:50:36 2026,True
29,0.8627313,tran_SchGtKttmmTtVtTeg40,Sch,Sat May 23 22:53:54 2026,True
