,eff,name,type,time,OK
0,81.58166,tran_SchGtKffTlVhTeg30,Sch,Tue Jun  2 18:14:54 2026,False
1,83.08733000000001,tran_SchGtKssTlVhTeg30,Sch,Tue Jun  2 18:14:50 2026,False
2,59.34811,tran_SchGtKffThVhTeg30,Sch,Tue Jun  2 18:14:47 2026,False
3,82.30785,tran_SchGtKssThVhTeg30,Sch,Tue Jun  2 18:14:34 2026,False
4,82.64692,tran_SchGtKffTlVlTeg30,Sch,Tue Jun  2 18:14:32 2026,False
5,80.06278999999999,tran_SchGtKssTlVlTeg30,Sch,Tue Jun  2 18:14:30 2026,False
6,67.16162,tran_SchGtKffThVlTeg30,Sch,Tue Jun  2 18:14:27 2026,False
7,82.10571,tran_SchGtKssThVlTeg30,Sch,Tue Jun  2 18:14:26 2026,False
