,f,r,name,type,time,OK
0,27731.33,5.350953,tran_SchGtKttTtVh,Sch,Sun Apr 26 13:01:19 2026,False
1,27352.85,5.386296,tran_SchGtKttTtVt,Sch,Sun Apr 26 13:00:52 2026,False
2,27711.91,5.320196,tran_SchGtKttTtVl,Sch,Sun Apr 26 13:00:29 2026,False
