,f,r,name,type,time,OK
0,27738.97,5.412873,tran_SchGtKttTlVt,Sch,Wed Apr 29 10:18:16 2026,False
1,27597.87,5.323576,tran_SchGtKttThVt,Sch,Wed Apr 29 10:17:34 2026,False
2,27285.98,5.378653,tran_SchGtKttTtVt,Sch,Wed Apr 29 10:16:30 2026,False
