,f,r,name,type,time,OK
0,28811.69,4.19665,tran_SchGtKffTlVh,Sch,Mon May  4 09:57:20 2026,False
1,29564.54,5.750659,tran_SchGtKssTlVh,Sch,Mon May  4 09:57:20 2026,False
2,27085.46,5.200575,tran_SchGtKffThVh,Sch,Mon May  4 09:57:20 2026,False
3,28641.8,5.524871,tran_SchGtKssThVh,Sch,Mon May  4 09:57:20 2026,False
4,26286.17,5.076476,tran_SchGtKffTlVl,Sch,Mon May  4 09:57:20 2026,False
5,33216.64,6.402901,tran_SchGtKssTlVl,Sch,Mon May  4 09:57:20 2026,False
6,27181.2,5.243476,tran_SchGtKffThVl,Sch,Mon May  4 09:57:20 2026,False
7,31063.26,5.989414,tran_SchGtKssThVl,Sch,Mon May  4 09:57:20 2026,False
