,f,d,name,type,time,OK
0,41083.17,0.5317978,tran_SchGtKfsTtVt,Sch,Tue Mar  3 14:36:20 2026,True
1,42151.78,0.5318733,tran_SchGtKsfTtVt,Sch,Tue Mar  3 14:35:38 2026,True
