,f,d,iref,name,type,time,OK
0,41632.94,0.5326827,-0.5343837,tran_SchGtKffTlVt,Sch,Mon Mar  9 09:48:08 2026,False
1,41124.27,0.5300635,-0.02949205,tran_SchGtKssTlVt,Sch,Mon Mar  9 09:48:08 2026,False
2,41336.53,0.5308466,-0.1341087,tran_SchGtKttTlVt,Sch,Mon Mar  9 09:48:07 2026,False
3,41653.22,0.534926,-3.3253899999999996,tran_SchGtKffThVt,Sch,Mon Mar  9 09:48:06 2026,False
4,41014.72,0.5324047,-1.084644,tran_SchGtKssThVt,Sch,Mon Mar  9 09:48:06 2026,False
5,41260.97,0.5342742,-2.212778,tran_SchGtKttThVt,Sch,Mon Mar  9 09:48:06 2026,False
6,41812.07,0.5332021,-1.710434,tran_SchGtKffTtVt,Sch,Mon Mar  9 09:48:06 2026,False
7,41333.52,0.5311117,-0.2080919,tran_SchGtKssTtVt,Sch,Mon Mar  9 09:48:05 2026,False
8,41470.48,0.5325336,-0.6987135999999999,tran_SchGtKttTtVt,Sch,Mon Mar  9 09:48:05 2026,False
